id,name,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,uri,track_href,analysis_url,duration_ms,time_signature,popularity
4gcZgrTDPprZ6gvqcNURhP,"Que Lloro - Primera Fila Acústico ""Una Última Vez - Encore""",0.503,0.252,9,-12.318,1,0.0333,0.788,2.21e-06,0.828,0.204,128.929,audio_features,spotify:track:4gcZgrTDPprZ6gvqcNURhP,https://api.spotify.com/v1/tracks/4gcZgrTDPprZ6gvqcNURhP,https://api.spotify.com/v1/audio-analysis/4gcZgrTDPprZ6gvqcNURhP,288960,4,31
4bvi8n8Xa2kX0UG02cvuE9,Married with Children - Remastered,0.585,0.427,4,-10.907,1,0.0278,0.808,0.0,0.0985,0.313,87.615,audio_features,spotify:track:4bvi8n8Xa2kX0UG02cvuE9,https://api.spotify.com/v1/tracks/4bvi8n8Xa2kX0UG02cvuE9,https://api.spotify.com/v1/audio-analysis/4bvi8n8Xa2kX0UG02cvuE9,195000,4,57
2GvI8j0DaIAGvubj5NinEF,Aprovéchate,0.741,0.686,9,-7.25,0,0.0291,0.0742,0.0289,0.0957,0.466,113.993,audio_features,spotify:track:2GvI8j0DaIAGvubj5NinEF,https://api.spotify.com/v1/tracks/2GvI8j0DaIAGvubj5NinEF,https://api.spotify.com/v1/audio-analysis/2GvI8j0DaIAGvubj5NinEF,254173,4,59
1UdzJEpgJxtuXAlCOvD4S0,Fuera del mercado,0.453,0.673,8,-5.649,1,0.144,0.32,0.0,0.131,0.266,92.06,audio_features,spotify:track:1UdzJEpgJxtuXAlCOvD4S0,https://api.spotify.com/v1/tracks/1UdzJEpgJxtuXAlCOvD4S0,https://api.spotify.com/v1/audio-analysis/1UdzJEpgJxtuXAlCOvD4S0,159849,4,76
2WuPEx6CAEMXrG833rNawy,Camuflaje,0.623,0.783,11,-6.175,1,0.0291,0.041,0.00087,0.191,0.748,144.992,audio_features,spotify:track:2WuPEx6CAEMXrG833rNawy,https://api.spotify.com/v1/tracks/2WuPEx6CAEMXrG833rNawy,https://api.spotify.com/v1/audio-analysis/2WuPEx6CAEMXrG833rNawy,206440,4,38
6i4IheCT4X0cZrrkmrQGsn,Brújula,0.303,0.798,10,-6.736,1,0.0363,0.077,0.27,0.125,0.932,91.452,audio_features,spotify:track:6i4IheCT4X0cZrrkmrQGsn,https://api.spotify.com/v1/tracks/6i4IheCT4X0cZrrkmrQGsn,https://api.spotify.com/v1/audio-analysis/6i4IheCT4X0cZrrkmrQGsn,252662,3,65
6j1seodox3Susex6pJbDqt,Será,0.635,0.541,6,-6.779,0,0.031,0.155,0.0,0.174,0.247,126.003,audio_features,spotify:track:6j1seodox3Susex6pJbDqt,https://api.spotify.com/v1/tracks/6j1seodox3Susex6pJbDqt,https://api.spotify.com/v1/audio-analysis/6j1seodox3Susex6pJbDqt,214667,4,54
431Dwa4XSR1z1aWgmCisnP,SERPIENTE,0.765,0.636,5,-6.688,0,0.0292,0.298,6.98e-06,0.188,0.801,117.04,audio_features,spotify:track:431Dwa4XSR1z1aWgmCisnP,https://api.spotify.com/v1/tracks/431Dwa4XSR1z1aWgmCisnP,https://api.spotify.com/v1/audio-analysis/431Dwa4XSR1z1aWgmCisnP,226960,3,68
7l4cSfrED7RrtT0t5CSOzv,00:00,0.494,0.729,10,-5.098,0,0.0482,0.0597,0.0124,0.121,0.556,159.125,audio_features,spotify:track:7l4cSfrED7RrtT0t5CSOzv,https://api.spotify.com/v1/tracks/7l4cSfrED7RrtT0t5CSOzv,https://api.spotify.com/v1/audio-analysis/7l4cSfrED7RrtT0t5CSOzv,215252,3,67
025ocYl9BtoWxIBP9uxrZ2,Sombras - En Vivo,0.505,0.561,0,-10.0,1,0.0461,0.367,0.00276,0.974,0.0555,146.954,audio_features,spotify:track:025ocYl9BtoWxIBP9uxrZ2,https://api.spotify.com/v1/tracks/025ocYl9BtoWxIBP9uxrZ2,https://api.spotify.com/v1/audio-analysis/025ocYl9BtoWxIBP9uxrZ2,252262,4,52
2BqfIlpahcebJPeu1IUTEo,Do Me a Favour,0.469,0.738,11,-6.638,0,0.0619,0.00013,0.0577,0.078,0.624,180.15,audio_features,spotify:track:2BqfIlpahcebJPeu1IUTEo,https://api.spotify.com/v1/tracks/2BqfIlpahcebJPeu1IUTEo,https://api.spotify.com/v1/audio-analysis/2BqfIlpahcebJPeu1IUTEo,209253,4,62
072YgF7J2clpY8DsWOpEri,Mientes Tan Bien,0.607,0.188,7,-15.084,1,0.0326,0.895,1.79e-06,0.109,0.486,135.896,audio_features,spotify:track:072YgF7J2clpY8DsWOpEri,https://api.spotify.com/v1/tracks/072YgF7J2clpY8DsWOpEri,https://api.spotify.com/v1/audio-analysis/072YgF7J2clpY8DsWOpEri,227613,4,76
2jggaUpOvn2G6Pv2HCEU6m,Esa noche,0.738,0.418,6,-9.452,0,0.032,0.768,0.0,0.135,0.592,134.855,audio_features,spotify:track:2jggaUpOvn2G6Pv2HCEU6m,https://api.spotify.com/v1/tracks/2jggaUpOvn2G6Pv2HCEU6m,https://api.spotify.com/v1/audio-analysis/2jggaUpOvn2G6Pv2HCEU6m,206373,4,56
06u5f79L0JIk4qmkYSdOm4,Sábado Perpetuo,0.547,0.832,4,-5.589,1,0.0318,0.0673,0.00452,0.291,0.739,123.962,audio_features,spotify:track:06u5f79L0JIk4qmkYSdOm4,https://api.spotify.com/v1/tracks/06u5f79L0JIk4qmkYSdOm4,https://api.spotify.com/v1/audio-analysis/06u5f79L0JIk4qmkYSdOm4,208307,4,46
24teIhDYO2RocTA2v5dY0r,Extssy Model,0.675,0.725,4,-4.766,0,0.0334,0.0839,0.0,0.334,0.469,92.513,audio_features,spotify:track:24teIhDYO2RocTA2v5dY0r,https://api.spotify.com/v1/tracks/24teIhDYO2RocTA2v5dY0r,https://api.spotify.com/v1/audio-analysis/24teIhDYO2RocTA2v5dY0r,240654,3,81
